row_type,step,group,term,raw,reference,fulfillment,discounted_sum,fpl_score
perstep,0,orientation,orientation_rz,1.000000,1.000000,1.000000,,
perstep,0,height,torso_height,0.981920,0.900000,0.908978,,
perstep,0,posture,left_hip_pitch_joint,-0.002937,0.000000,0.998980,,
perstep,0,posture,left_hip_roll_joint,0.001039,0.000000,0.999650,,
perstep,0,posture,left_hip_yaw_joint,-0.008109,0.000000,0.997059,,
perstep,0,posture,left_knee_joint,0.012463,0.000000,0.995672,,
perstep,0,posture,left_ankle_pitch_joint,0.001774,0.000000,0.997967,,
perstep,0,posture,left_ankle_roll_joint,-0.004370,0.000000,0.983308,,
perstep,0,posture,right_hip_pitch_joint,-0.008920,0.000000,0.996903,,
perstep,0,posture,right_hip_roll_joint,-0.003248,0.000000,0.998905,,
perstep,0,posture,right_hip_yaw_joint,0.004358,0.000000,0.998420,,
perstep,0,posture,right_knee_joint,0.024387,0.000000,0.991532,,
perstep,0,posture,right_ankle_pitch_joint,0.011398,0.000000,0.986939,,
perstep,0,posture,right_ankle_roll_joint,0.006169,0.000000,0.976435,,
perstep,0,posture,waist_yaw_joint,0.011249,0.000000,0.995703,,
perstep,0,posture,waist_roll_joint,-0.005515,0.000000,0.989394,,
perstep,0,posture,waist_pitch_joint,-0.002854,0.000000,0.994512,,
perstep,0,posture,left_shoulder_pitch_joint,0.191479,0.200000,0.997409,,
perstep,0,posture,left_shoulder_roll_joint,0.191739,0.200000,0.995973,,
perstep,0,posture,left_shoulder_yaw_joint,0.003335,0.000000,0.998726,,
perstep,0,posture,left_elbow_joint,1.270728,1.280000,0.996016,,
perstep,0,posture,left_wrist_roll_joint,0.003060,0.000000,0.998449,,
perstep,0,posture,left_wrist_pitch_joint,-0.000125,0.000000,0.999922,,
perstep,0,posture,left_wrist_yaw_joint,0.000250,0.000000,0.999845,,
perstep,0,posture,right_shoulder_pitch_joint,0.192418,0.200000,0.997695,,
perstep,0,posture,right_shoulder_roll_joint,-0.190726,-0.200000,0.995479,,
perstep,0,posture,right_shoulder_yaw_joint,-0.010101,0.000000,0.996142,,
perstep,0,posture,right_elbow_joint,1.271046,1.280000,0.996153,,
perstep,0,posture,right_wrist_roll_joint,-0.004954,0.000000,0.997488,,
perstep,0,posture,right_wrist_pitch_joint,-0.001703,0.000000,0.998945,,
perstep,0,posture,right_wrist_yaw_joint,-0.002029,0.000000,0.998743,,
perstep,1,orientation,orientation_rz,0.999985,1.000000,1.000000,,
perstep,1,height,torso_height,0.978985,0.900000,0.912239,,
perstep,1,posture,left_hip_pitch_joint,-0.000599,0.000000,0.999792,,
perstep,1,posture,left_hip_roll_joint,0.010973,0.000000,0.996302,,
perstep,1,posture,left_hip_yaw_joint,-0.002766,0.000000,0.998997,,
perstep,1,posture,left_knee_joint,0.033138,0.000000,0.988493,,
perstep,1,posture,left_ankle_pitch_joint,-0.002069,0.000000,0.997629,,
perstep,1,posture,left_ankle_roll_joint,-0.009452,0.000000,0.963896,,
perstep,1,posture,right_hip_pitch_joint,-0.004211,0.000000,0.998538,,
perstep,1,posture,right_hip_roll_joint,0.005838,0.000000,0.998032,,
perstep,1,posture,right_hip_yaw_joint,0.024612,0.000000,0.991075,,
perstep,1,posture,right_knee_joint,0.041672,0.000000,0.985530,,
perstep,1,posture,right_ankle_pitch_joint,-0.001281,0.000000,0.998532,,
perstep,1,posture,right_ankle_roll_joint,0.010530,0.000000,0.959777,,
perstep,1,posture,waist_yaw_joint,0.006990,0.000000,0.997330,,
perstep,1,posture,waist_roll_joint,0.001700,0.000000,0.996732,,
perstep,1,posture,waist_pitch_joint,-0.002950,0.000000,0.994327,,
perstep,1,posture,left_shoulder_pitch_joint,0.175351,0.200000,0.992506,,
perstep,1,posture,left_shoulder_roll_joint,0.173585,0.200000,0.987124,,
